ID,Case Number,Date,Latitude,Longitude
4676906,HM278933,03-01-2003 00:00,41.81722916,-87.63732816
4677901,HM275615,05-01-2003 01:00,41.69178464,-87.63511597
4791194,HM403711,01-01-2001 11:00,41.68702,-87.60844523
4679521,HM216293,03/15/2003 12:00:00 AM,41.72971237,-87.65315851
4680124,HM282389,01-01-2003 00:00,41.86977216,-87.70818016
4682244,HM282286,06-05-2003 00:00,41.72433049,-87.63843425
4684808,HM286351,01-01-2003 00:00,41.78316356,-87.72777295
4686904,HM288497,11-01-2003 08:00,41.83149438,-87.6679775
4687321,HM287080,11/15/2003 09:00:00 AM,41.7789213,-87.70636492
4688004,HM290677,01-02-2003 08:00,41.91182475,-87.7157534
4803028,HM414773,01-01-2001 00:00,41.79151868,-87.72909879
4803606,HM417252,01-01-2001 00:00,41.83452299,-87.68264242
4809221,HM423298,06/16/2001 08:00:00 AM,41.77853999,-87.6740356
4695836,HM294072,10/31/2003 02:00:00 PM,41.77173651,-87.66400571
4696148,HM300702,01-01-2003 09:00,41.74526772,-87.69982535
4696401,HM301419,01-01-2003 00:00,41.97582197,-87.80705321
4811727,HM402010,06-01-2001 08:00,41.89680855,-87.76247241
4699493,HM302756,01-01-2003 12:00,41.76601287,-87.58288376
4706080,HM306283,12-10-2003 09:00,41.87799981,-87.64308039
4821866,HM434610,07/25/2001 10:00:00 AM,41.92179487,-87.71326885
4822001,HM431335,06/23/2001 08:00:00 PM,41.77218651,-87.6385705
4708622,HM312347,05/23/2003 09:00:00 AM,41.84378785,-87.70989384
4709062,HM313501,06/18/2003 09:00:00 AM,41.78924966,-87.62184124
4709502,HM314530,12-01-2003 00:01,41.93156103,-87.74444156
4710526,HM274261,08-01-2003 09:00,41.88171118,-87.75345571
4826592,HM438693,01-01-2004 00:01,,
4711465,HM315884,07-07-2003 00:00,41.96640935,-87.64885216
4711723,HM317057,08-09-2003 12:00,41.75350759,-87.66190459
4830505,HM329032,01-01-2004 00:01,,
